label,sentence
1,Karimov stressed that trade turnover between Uzbekistan and Japan in 2001 is expected to be quite good.
1,The lawyers refused to reveal the source of the documents.
1,"It had already been known that Lebanese Phalangist militias, which perpetrated the massacres, cooperated closely with Israel, but according to the lawyers, various documents now indicate that Israel and the Phalange had planned the actions in the camps in advance, that Israel exercised complete control over the militias, and that, in the wake of the massacres, the Israeli army instructed the Phalange to assume responsibility."
0,"The documents include meeting reports, and intelligence service and interrogation reports."
1,The lawyers expect that the Public Prosecution Office will request Israel to confirm the documents' authenticity.
1,"Judging from a few texts that De Standaard was given access to, the documents seem to be related to the Israeli Kahan Commission."
1,The lawyers deemed it wise to do this now because one of Collignon's questions is connected with the juridical consequences of a Lebanese amnesty law.
1,"On behalf of some Palestinian survivors, lawyers Luc Walleyn and Michael Verhaeghe on 18 June filed a complaint with the Brussels Public Prosecution Office against Sharon and other Israeli and Lebanese persons deemed responsible for the massacres in Beirut."
1,"Lawyers for the survivors, who have filed a complaint against Sharon in Belgium, said this."
1,"According to Belgian and international criminal law, they could be held responsible,"" Verhaeghe said."
0,"A few days after filing the complaint, the lawyers received a stack of documents in Hebrew and in English regarding the 1982 Israeli invasion of Lebanon and the Sabra and Shatila events."
1,"Tomorrow, the Chamber for Indictments will begin the debate on Investigating Judge Collignon's questions on the legitimacy of the case against Sharon."
0,Senior generals and Sharon bore command responsibility [preceding two words published in English] for the militias' actions.
0,"""In practice, the Phalangist militias operated directly under Israeli command."
0,Brussels - New confidential documents indicate that current Israeli Prime Minister Ariel Sharon and the army's former leadership were directly responsible for massacres in the Palestinian refugee camps of Sabra and Shatila in 1982.
0,They gave the entire stack to Investigating Magistrate Patrick Collignon.
0,"In the complaint, Hobeika had not yet been called by name."
1,A ruling is expected by the end of this year or early next year.
1,Walleyn are Verhaeghe are convinced of the authenticity of the documents.
0,This special commission investigated the Sabra and Shatila events in 1982-1983.
1,"In the meantime, the lawyers have also initiated a civil suit against Elie Hobeika, the militia leader who is regarded as one of the main perpetrators of the massacres."
1,"It published a report, but not all the documents and interrogation reports were released, because they were deemed damaging to the state's interests."
0,"In the next stage, 2006-2010, the efficiency of existing nuclear power stations will be stepped up by increasing the utilization of current capacity, extending their service life and increasing capacity by using new-generation power units In 2005, the capacity of all Russian nuclear power stations should total 25.24 GW."
0,It will increase by 3 GW in 2002-05 and by 4.81 GW in 2006-10 to 30.05 GW.
0,"When nuclear power stations account for nearly 20 per cent of total energy generated in the country, nearly 52bn cubic metres of gas will be saved in 2005 and 65.5bn cubic metres in 2010."
0,"The construction of nuclear power stations in Iran, China, India, Kazakhstan and Ukraine will provide 42bn dollars in 2002-2005 and 24bn dollars in 2006-2010."
1,"Moscow, 27 November: Russia intends to modernize and extend the service life of 11 power units in its nuclear power stations by 2005."
0,"This is one of the provisions of the federal programme Energy-Efficient Economy that covers the period from 2002 to 2005 and sets guidelines until 2010, the Government Information Department reported on Tuesday [27 November]."
1,"The programme calls for the overhaul of nuclear power stations with a view to extending their safe and efficient operation, extending the service life of power units, resumption of the construction of power units and compiling a list of promising sites for future nuclear power stations."
0,"Its other provisions include the overhaul and construction of new plants for making fuel elements and the overhaul of ""wet"" nuclear waste storage facilities."
1,"The government, without assets to sell and without the possibility of falling back on the devaluation of its currency, is now condemned to keep on asking for foreign capital to maintain its balance of payments in equilibrium."
1,"In the case of Pakistan, it is this country's geostrategic position in the current crisis that serves to justify the avalanche of loans and trade facilities that are being granted to Islamabad."
1,"The first illustration of a change in the position of the United States (the Fund's leading shareholder) toward countries that may squander the American taxpayer's money was the arrival in September of Ann Krueger, an ultraliberal American, as number two at the IMF."
1,"Since the economic targets the government had promised, particularly the one on a zero budget deficit, were not reached, the board felt it was unable to ""recommend"" releasing a new $1.264 billion tranche that had been scheduled for December as part of last year\'s $22 billion program for Argentina."
0,Unconditional Support
0,The latter was adopted in the end.
1,"And yet, the problem was disposed of in two hours."
1,"Moreover, he found the measures taken by the government to control the [movement] of foreign exchange and limit the flight of capital were ""regrettable"", even though these measures were made more flexible later on."
1,"The IMF administrators' bookkeeping-based decision marks a toughening of its policy, which America's republicans, who are especially critical of the Fund's past largesse, have called for over the past years."
0,"It was taken following the presentation of a report by Chile's Thomas Reichmann, the chief of mission who had been sent to Buenos Aires."
0,"This was the case in particular for Russia, Brazil and now Pakistan."
1,"We also stopped counting the unconditional support the institution has given some heads of state, who are neither especially virtuous nor especially democratic, because it was in the political, commercial and economic interest of the United States to do so."
1,"Moreover, the ""Argentine case"" falls at a bad time."
1,"Furthermore, Argentina is not a priority for the Americans now, confides a member of the IMF."
1,The figures spoke for themselves.
1,The fate of 30 million Argentines depends on this.
0,The government adopted a fixed parity between the dollar and the peso in 1991 in order to stop unrestricted inflation.
1,"Regardless of what happens, the current extremely perilous situation is another setback for the IMF."
1,It has been following Argentina's national accounting with a magnifying glass for the past ten years and it has shown it is incapable of guaranteeing the country's financial equilibrium just as most of the countries that submit to its demands.
1,"According to an eyewitness, this cut and dry, accounting-like decision taken by civil servants, who thus have the power of ""life or death"" over a country, was not the subject of any debate."
1,"Yet, over the past ten years, it has done everything it can to be considered one of the IMF's good pupils."
0,"Three meetings - on Mondays, Wednesdays and Fridays - under the chairmanship of the institution's director general, Germany's Horst Kohler, usually punctuate their weekly schedule."
1,We have stopped counting the number of times financial bailout plans have been set up to help this or that government in difficulty.
1,President Bush now needs parliamentary votes to get more powers on trade negotiation matters and a green light on the economic stimulation plan that has been dragging along for the past two months.
1,"Buenos Aires privatized, on Washington's recommendation, all of its public companies."
1,"Also, the risk that its bankruptcy will cause a chain reaction and lead to a grave crisis among emerging nations is, according to economists, not very likely or at most limited."
1,"It is the victim of an explosive situation at the economic, political and social levels."
0,"In the case of Russia, it was a matter of helping the former soviet giant consolidate its emerging democracy."
0,"That particular morning, it was Argentina's turn."
1,This was the only concession made to a government that has been struggling to restructure its domestic public debt to avoid having the country simply default on its debt.
0,Will Argentina be declared bankrupt on 19 December?
0,"During these meetings, they review various subjects and in particular the achievements of ""under program"" countries."
0,"December 5, was a Wednesday like any other for the 24 executive directors of the International Monetary Fund [IMF]."
1,"In the event of non-payment, the country will find itself an outcast of the international financial community."
1,The president could not take any risk of ruffling the republicans.
1,This position is surprising all the same because the history of the IMF is lined with derogations.
1,"Shortly thereafter, the institution\'s spokesman, Thomas Dawson, declared ""the [Argentine] authorities have to reach the program goals they set for themselves"" before they can get any more money."
0,Brazil has had time to lessen its dependence on trade links with Argentina.
0,The other emerging nations are calling on foreign capital less since the Asian crisis and a sharp ebb in investments would not have the dramatic impact that it had in 1997-1998.
1,"In essence, it seems that they all agreed on one thing: meeting a commitment is inviolable."
1,"For Brazil, the Fund intervened in October 1998, between two rounds in the presidential election, to support Fernando Henrique Cardoso\'s reelection because his macroeconomic options fell in line with the Fund\'s requirements, contrary to his leftist adversary, Luis Inacio ""Lula"" da Silva."
1,"Hence, a foreign debt of $130 billion and the urgent need for an inflow of capital from the IMF to repay $2 billion in debt that is coming due on 19 December."
1,Argentina has none of these worthy arguments.
1,"At most, a few differences in sensitivity emerged over whether or not the issue should remain closed from one to two months or if the discussions with Argentina should continue."
1,One can easily talk in a similar manner of the racial discrimination in the United States which is becoming more serious with the passage of time.
1,"The United States, however, is not qualified to speak of ""human rights"" in other countries."
1,"When voices critical of the Israelis' violation of the Palestinian people's human rights were raised at the conference, the United States went so far as to withdraw its delegation."
1,They responded that three out of ten blacks could not find job or have been denied responsible positions in the workplace simply because they were blacks and eight out of ten blacks and two thirds of the Latinos and Asians said they had suffered persecution and had been subjected to abusive language.
0,"As a result of racial discrimination, many among the ethnic minorities reportedly have been driven out of urban areas."
1,"Recalling the scene, Ali Barr said: ""Myself and my company were racially discriminated against."
1,Many people in the United States have their human rights ruthlessly trampled upon simply because they are colored.
0,"A total of 1,709 people, including blacks, Latinos, and Asians, participated in the poll."
0,"Ali Barr [name as published], a black man working at a TV station in Atlanta, has recently experienced racial discrimination in a restaurant."
1,"In the beginning, the United States refused to send a delegation, but eventually dispatched a low-level delegation."
1,"Instead of talking about ""human rights issues"" of other countries, the United States should find out how things are in its own house where the abuse of human rights is rampant and make effort to rectify the practices."
0,"According to 2000 vital statistics released not so long ago in the United States, one out of four residents of the suburban areas was an ethnic minority."
1,"The great leader [yongdoja] Comrade Kim Chong-il has pointed out: \n\t\n\t\n ""Although the imperialists and reactionaries speak ill of socialism and pretend to be the \'advocates of human rights,\' they are the ones who really abuse human rights."""
1,"According to a poll conducted jointly by the US daily ""The Washington Post"" and Harvard University, people are wondering whether the American society is not reverting to the 1960s when racial discrimination was very serious."
1,"When Ali Barr and his company entered the restaurant, ten white people inside the restaurant appeared surprised to see them and a waitress told them to leave the premise immediately."
1,"More often than not, the United States, acting as if it were an ""adjudicator of human rights,"" published the so-called ""Annual Human Rights Report"" and ""Annual Report on International Religious Freedom,"" attempting to teach a lesson or two to countries -- including our country -- it deems disagreeable."
1,"People will likely remember the fact that the United States withdrew its delegation from the UN conference against racism held last September in Durban, South Africa."
1,"At a recent United Nations meeting, the United States picked a quarrel with us by speaking as if our country had a ""human rights problem."""
1,"Since this is how a government claiming to represent its people behaves in international settings, it is no wonder people at home follow the government's example."
1,This was not the first time the United States acted this way.
0,This figure is said to be 5 percent higher than it was a decade ago.
1,"I can never forget what I saw that day as long as I live."""
1,"However, we will not look back at the entire century that has just passed."
1,"The other has no other homeland than France, which does not, however, lead him to deny his heritage from ancient Israel (which contains, like all heritages, the best and the worst) nor to be indifferent to the destiny of those millions of Jews who have something in common with him."
1,What would remain of the ideals of those who saw themselves as their liberators of their people and as builders?
1,"Let us content ourselves with reiterating the evidence: Since June 1967, the West Bank and Gaza have been occupied and dominated territories, crushed politically, socially, economically."
1,"Whom does he think he resembles, if not the perpetrator of the Sabra and Shatila massacres?"
0,"The United States, Canada, Australia, and New Zealand were all created at the conclusion of a colonial process."
1,Can we seriously imagine the crimes that would have to be committed to achieve this result?
1,"Today, he is being completely isolated and the desire to drive him away is scarcely disguised."
1,"On the Israeli side, despite the process, settlement has increased considerably, eating away at the supposedly autonomous Palestinian territories crisscrossed by ""bypass roads."""
1,"This applies to all the problems under discussion, including, of course, the issue of Jerusalem and of the refugees."
1,The second is that of reciprocity.
1,"Asking this question at least serves as a reminder that, although many have already left, thereby reinventing the Diaspora, the Israelis want to stay and do not intend to end up like French Algeria."
1,"Likewise, the more recent creation of Israel was accompanied, under the indifferent gaze of the Western and Soviet world, by the forced exodus of hundreds of thousands of Palestinians."
1,"Like any form of state terrorism, it is above all contradictory."
1,"On the Palestinian side, feeding on the growing frustration of the occupied population, a wing has broken off, conducting a policy of terror and death that horrifies us."
1,"These days, when everything seems to be collapsing in the Middle East, both the Palestinians' chances of finally having a state in which their people would be sovereign, and the Israelis' chances of integrating themselves into a region where -- need we be reminded? -- the Arabs are in the overwhelming majority, we believe it our duty to voice a few basic truths."
1,"It must be acknowledged that the government of Ariel Sharon has so far taken the opposite tack and that, while he has grudgingly recognized the Palestinians' right to a state, it has been under conditions such that this state, reduced to a series of Bantustans, has no chance of living and developing peacefully."
1,"We still want to hope that the ""rest of Israel,"" as the prophets called it, is the ""mustard seed"" another prophet referred to."
1,"Those involved in it had no shortage of arguments, whether Arab, Jewish, or simply clear-headed."
1,It is absolutely impossible for the time being.
1,We are both historians.
1,Ariel Sharon's immediate exploitation of the 11 September massacres is an unmistakable sign.
1,"Today, these refugees and their descendants do not call into question the existence of the state of Israel as long as the injustice suffered is recognized and the implementation of their rights is negotiated fairly."
1,"The other solution is the opposite of the first one: the departure of the Israelis to more hospitable climes, in the United States or Europe."
1,There was a quarrel concerning Zionism.
1,"It also applies for Palestinian citizens of Israel who, 53 years after the creation of the state, are still far from equal."
1,"From the current perspective, three solutions seem ""logical."""
1,"It now resembles the destruction of the very people, so structured and organized is it."
1,Any renunciation of sovereignty by either party must be compensated by the other.
1,It furthermore holds for the Israelis who decide to remain in Palestinian territory and who must no longer be encysted there.
1,This process has not achieved its goal.
1,"Today, two forms of terrorism fuel each other."
1,How to escape from this situation?
1,"We do hope so, against all hope."
1,"The third solution consists of coexistence, whether it takes the form of two separate states or a federation or a confederation."
1,"Palestinian terrorism, which existed on a very small scale in the time of Yitzhak Rabin, has taken on a dramatic dimension."
1,"The Israeli ambassador in France, Elie Barnavi, recently made two contradictory statements: That all those who, like Nurit Peled, believe that the Sharon government is a ""government of death"" could easily fit into a telephone booth... and that by their existence they constitute Israel\'s very honor."
1,"Despite this, the Palestinian resistance has formally recognized the existence of Israel and begun a peace process in Oslo, while the state of Israel has recognized the Palestinians represented by the PLO and its leader Yasser Arafat."
1,Sharon compared Arafat to Bin Ladin and Mullah Omar put together.
1,"But the Israeli response, with its ""extra-judicial liquidations,"" is even more dramatic in a certain sense."
1,"The first is that of not only civic, but also social and economic, equality."
1,This principle applies primarily to the attitudes that must prevail during any future negotiations.
1,"Two basic principles could still, perhaps, make it possible."
1,"Zionism established itself in a sensitive region of the world at a time when nothing seemed more ""normal"" than to settle in someone else\'s territory."
1,A recently assassinated minister favored this solution.
1,Can anyone believe that the Arab world could approve of it?
1,"Yesterday, Yasser Arafat was being asked to police the area he was supposed to be in charge of, while destroying the instruments of his power."
1,"The first is the expulsion of the Palestinians from what is known as Eretz Israel, from all of Mandatory Palestine."
1,No one today challenges their existence despite the crises arising from this process and which were cited by an Aboriginal athlete at the Olympic Games in Sydney.
1,"What would then remain of the universal character of the prophets of Israel -- that of the second Isaiah, for example -- and of Israeli citizens' hope of one day living in peace in this region?"
1,Extremists on both sides have clearly understood this and have derived nothing but encouragement from it.
0,One of us is a Palestinian patriot (and not a nationalist).
1,This is taking place at a time when the government of [George W.] Bush has been identified as the top violator of human rights of the last Christian year because of the restrictions imposed on the American citizens under the excuse of fighting terrorism.
1,"They cannot, therefore, blame the world for viewing such reports as a tool to advance America's foreign policy."
1,"The most interesting point is that America has been expelled from membership of the international human rights organization, because of its repeated violation of human rights."
1,"Only after the extensive protest of the world [media] and the human rights organizations, the American administration was compelled to partially recognize this right."
1,The State Department's current expression of view on human rights records of other countries is in fact the continuation of the same unilateral policy pursued by the American administration.
1,"The American administration, during Bush's presidency in particular, has adopted unilateral policies over such international issues as the reduction of strategic arms, environmental concerns including the Kyoto protocol, proposal to set up an international criminal court and lately over the fight against terrorism."
1,"The American Department of State, in its annual report on human rights, has accused a number of countries, including Iran, of human rights violations."
1,The American administration is keeping the Taleban and Al-Qa'idah prisoners in metal cages named detention centres and it is refusing to identify them as prisoners of war.
1,"How can, under such circumstances, America allow itself to express an opinion over the issue of human rights in other countries?"
1,"That is, American administration assumes the right to interfere in all international issues and internal affairs of other countries, but itself does not care about the concern of the global community vis-a-vis the American policies which at times influence a large part of the world."
1,"Moreover, the American administration has violated the rights of the minorities and in particular the Muslim minority who have migrated to America."
1,It seems that America's unilateral policy does not identify any limits for itself.
1,"So far the Bush administration has denied its citizens their legitimate rights, has set up military courts to try the people charged with terrorism without giving the accused the right of appeal or the basic right to appoint a lawyer."
1,This is another example of human rights violations in America.
1,"It is a human virtue to express concern on human rights issues in the world, but the American authorities - after massacring thousands of innocent people in Afghanistan under the excuse of fighting terrorism which is still continuing - cannot expect the people of the world to take seriously the annual report issued by their Department of State on human rights."
1,"China had always ""firmly opposed"" the US Taiwan Affairs Act, which mandates by law the US defense of Taiwan and forms the basis for US arms sales to the island, he said."
1,In a press conference on the sidelines of the current full session of parliament -- his annual opportunity to present China's foreign policy objectives to the outside world -- Tang largely steered clear of subjects over which Beijing and Washington disagree.
1,"""President Jiang and President Bush held an important meeting in Shanghai in October where they agreed that both countries would work together to build a constructive and cooperative relationship."
1,"When asked whether the anti-terror alliance meant good relations between the country were based purely on expediency, Tang disagreed, saying cooperation ""was long-term""."
1,"""I wish to emphasize that the Taiwan question remains the most sensitive and most important issue at the core of the Sino-US relationship,"" he said."
1,"BEIJING, March 6 (AFP) -- China\'s foreign minister on Wednesday pledged to expand ""constructive and cooperative"" relations with the United States, in a notably conciliatory performance at his annual get-together with the media."
1,"""This is a very important consensus,"" Tang said."
1,Sino-US relations took a more serious dip a month afterwards during a crisis over the collision between a US surveillance plane and a Chinese fighter jet over the South China Sea.
1,"Even when the perennially divisive issue of Taiwan was raised by reporters, he offered only mild and routine criticism of US policy towards the island."
1,Sino-US ties have greatly improved since Beijing backed the US fight against global terrorism and its bombing campaign of terrorist targets in Afghanistan following the September 11 terrorist attacks on the United States.
1,However he stressed that Taiwan remained the crucial issue between the two.
1,"Overall, despite a ""grim and complicated"" post September 11 international order, China still maintained that ""peace, stability and development"" remained the main themes characterizing the world environment, Tang said."
1,"""We are ready to work together with the US side to narrow differences, expand common ground, increase exchanges and promote cooperation in order to further push forward the constructive and cooperative ties,"" Foreign Minister Tang Jiaxuan told journalists."
1,"Tang conceded there had been ""twists and turns"" following US President George W. Bush\'s accession to the US presidency in early last year, but said the relationship had improved with Bush\'s visits to China in October and last month."
1,"The tone of Tang's press conference was markedly different to that of last year's equivalent event, during which he roundly criticised United States arms sales to Taiwan."
0,"Tang further announced that Liu Jieyi, the director general of the Chinese Foreign Ministry section in charge of arms control, was in Washington for talks on weapons proliferation and issues concerning the global security."
1,US accusations of China's alleged proliferation of weapons of mass destruction have long been countered by Beijing with loud opposition to US weapon sales to Taiwan.
1,"Tang called on Washington to uphold the so-called ""one China policy"" -- the centrepiece of Beijing\'s dealings with Taiwan which categorises the island is an inalienable part of mainland territory -- but failed to specifically condemn Washington\'s arms sales to Taipei."
1,China will seek to improve the relationship still further during visits by President Jiang Zemin and Vice President Hu Jintao to Washington later this year.
1,"On the other hand, the report described South Korea as ""generally respecting the human rights of its citizens"" although problems remain in some areas."
1,"The report also noted improvement in human rights records in such countries as Bahrain, Peru, Qatar and Oman."
0,"Other problems cited in the report include domestic violence, rape, child abuse, legal and societal discrimination against women and ethnic minorities."
1,"In connection with freedom of speech and press, the report said the Seoul government abandoned direct control over the news media, but it continues to exercise indirect influence, and government officials vigorously lobby reporters and editors."
1,"""Citizens are detained arbitrarily, and many are held as political prisoners and prison conditions are harsh."
1,"The constitutional provisions for an independent judiciary and fair trials are not implemented in practice,"" the report said."
1,"The U.S. State Department published its annual human rights country report Monday, reconfirming poor human rights conditions in North Korea."
1,It cited controversial massive tax probes of media firms which critics accused of being an attempt to curb media criticism of the government while the government maintained the tax audit was a legitimate activity and long overdue.
1,"The report pointed out as ""remaining problems"" in South Korea, police\'s physical or verbal abuses of detainees at times and the National Security Law (NSL)\'s infringement upon free expression and other civil liberties."
0,"The report, however, noted the government has taken various steps to improve its human rights record."
1,"The ""Country Reports on Human Rights Practices for 2001,"" submitted to Congress, said North Korea\'s human rights record remained poor, and it continued to commit numerous serious abuses."
1,"Meanwhile, the report called Afghanistan ""a triumph for human rights in 2001,"" saying that after the U.S.-led war on terrorism, Afghan citizens have been released from the brutal and oppressive rule of the Taliban and Afghan women, who suffered violence and repression, are now beginning to resume their roles in society."
1,It also estimated that anywhere from several hundreds of thousands to two million people died from starvation and related diseases.
0,"South Korea was cited in the report as a ""major transit point for alien smugglers, including traffickers of primarily Asian women and children for the sex trade and domestic servitude."""
1,"In particular, trafficking in persons was a problem."
0,Other human rights abuses in the North included extrajudicial executions and disappearances.
1,It also noted President Kim Dae-jung stated repeatedly that promoting the rights of women was a priority goal.
1,"However, the report comprehensively blamed the North Korean authorities for committing wrong-doings in terms of human rights."
1,The U.S. report stated North Korean residents have no power to peacefully replace their government and cited reports of executions of citizens in the North.
1,"""The U.S. report is feared to further encourage North Korea\'s resistance against the United States, which was triggered by Bush\'s recent Seoul visit,"" a government source said Tuesday."
1,"Recently, North Korea strongly denounced comments made by U.S. President George W. Bush during his Seoul visit last month accusing the North Korean leadership of starving its people while developing weapons of mass destruction."
1,"Meanwhile, some experts do not regard future Pyongyang-Washington relations with such pessimism, saying this year's U.S. human rights report on North Korea was not as severe as previous years."
1,"The U.S. State Department on Tuesday (KST) rated the human rights situation in North Korea ""poor"" in its annual human rights report, casting dark clouds on the already tense relationship between Pyongyang and Washington."
1,"The report particularly designated North Korea, along with Myanmar, China, Iran, Iraq and Sudan as countries of special concern in connection with religious oppression."
1,Such an unfavorable report for North Korea is likely to produce a negative effect on Pyongyang-Washington relations for the time being.
1,"North Korea is expected to call the U.S. administration\'s report a ""groundless plot"" or an ""intervention of domestic affairs."""
1,It also took issue with the lack of religious freedom in the communist country.
1,"In the department\'s human rights report, the United States did not use the term ""axis of evil,"" which first appeared during President Bush\'s State of the Union address in late January."
1,"""Authorities still were quick to suppress any person or group, whether religious, political, or social, that they perceived to be a threat to government power or to national stability, and citizens who sought to express openly dissenting political and religious views continued to live in an environment filled with repression,"" the report charged."
1,"""This is unreasonable and done with ulterior motives,"" he said."
1,The United States has rejected China's repeated calls to consider Xinjiang separatists as terrorists.
1,"The 2001 Country Reports on Human Rights, released in Washington Monday, also gave poor grades on rights to North Korea, Iraq, Iran, Myanmar [Burma] and Vietnam as well as mixed reviews to Indonesia and Cambodia."
1,"BEIJING, March 5 (AFP) -- Beijing condemned Tuesday as ""unreasonable"" an annual US State Department report that criticised China\'s human rights record for abuses including torture and the repression of religious and ethnic minorities."
1,"""The US government turns a blind eye to this situation and points fingers at the internal affairs of other countries and distorts the status of human rights in other countries."
1,Kong also warned Washington against double standards in the global war against terrorism.
1,"""The Chinese government and people express their deep dissatisfaction and firm opposition,"" he told a press conference."
1,"Beijing\'s human rights record throughout 2001 ""remained poor"", the State Department concluded in its scathing 70,000-word report."
1,"""East Turkestan forces are participating in and fighting with the Taliban, this is a fact known to all, they are a component of international terrorist forces and a target of international forces fighting terrorism,"" he said."
1,"Uyghur separatists seeking to establish an independent ""East Turkestan"" in China\'s western-most Xinjiang region were terrorists who had cooperated with Afghanistan\'s former Taliban regime and needed to be wiped out, he said."
1,"The Chinese government was devoted to promoting and safeguarding human rights and fundamental freedoms, Kong said, and added there were ""numerous cases"" of human rights violations in the United States."
1,"""The State Department 2001 human rights report goes against the facts and is interference in China\'s internal affairs under the pretext of human rights,"" foreign ministry spokesman Kong Quan said."
0,"GCEP, an agency operating under the Ministry of Municipal and Rural Affairs and the Environment, is the country's point of reference for environmental pacts."
0,"In 1997, at a UN conference in Kyoto, Japan, the Kyoto Protocol legally obliged developed countries to reduce the amount of greenhouse gas emissions by 8 per cent (below 1990 levels) between 2008 and 2012."
1,"With the signing of the protocol, he said, GCEP hopes to attract more funding to contribute to the international community's efforts in reducing greenhouse gases, which trap heat in the earth's atmosphere thus causing climate change."
0,"""Soon, the government will delegate Jordan\'s representative to the United Nations, HH Prince Zeid Ben Raad, to sign the protocol,"" Juneidi told The Jordan Times on Tuesday, adding that an exact date for signing of the environmental agreement had not been set."
1,"Other developed countries like Canada have shown reluctance towards signing the Kyoto Protocol, saying it would cut the national GDP by up to 2.5 per cent in 2010 and cause economic damage worth 30 billion Canadian dollars ($19 billion)."
1,"In March 2001, the US administration opposed the protocol by saying that it contravenes US economic interests, a decision slammed by European Union countries at the time."
1,"Although developed countries are the world\'s main source of large-scale air pollution, Jordan\'s decision to sign the protocol is aimed at stressing its ""commitment towards the different international conventions,"" Juneidi said."
0,Instead the US government produced its own alternative climate change strategy aimed at encouraging industries to trim their emissions.
0,"AMMAN -- Jordan said it will sign the Kyoto Protocol, a UN pact on impeding global greenhouse gas emissions, following a recent Cabinet decision, according to Faris Juneidi, director general of the General Corporation for Environment Protection (GCEP)."
1,"On Monday, the 15 European Union member states agreed to be formally bound to the Kyoto accord, and complete the ratification by June 1 this year."
0,"At this ceremony, Seyed Mohammad Jalali Parvin, the managing director and a member of the board of directors of the Islamic Republic of Iran's Law Enforcement Forces' Cooperatives Foundation, presented some awards to the superior companies which had taken part at the exhibition."
1,"Touching on the importance of modern technology in preventing and reducing crimes in society, Parvin also thanked the active participation of local and foreign companies at Iran's First International Police and Security Equipment exhibition."
1,"Pointing to the presence of Interpol officers and the representatives, ambassadors and military attaches from different countries, including Russia, Saudi Arabia, Slovakia and Italy, Parvin said despite the fact that it was the first exhibition of its kind in Iran, it was extensively welcomed by many companies."
0,"At this ceremony, the Iranian Sa-Iran, Ava-e Nasr-e Novin and Mahan Industry companies as well as foreign companies from Russia, Britain, and the Netherlands received awards as the superior companies at the exhibition."
1,"At the ceremony, which was held in the presence of some security and government officials as well as a large number of foreign ambassadors and military attaches from 15 foreign countries, the participants praised those companies which emerged superior at the exhibition."
0,"TEHRAN The concluding ceremony of the First International Police and Security Equipment Exhibition was held last Thursday, the exhibition's Public Relations Office said in a statement."
1,He also gave the news about the holding of a similar exhibition by Iran and Russia in Moscow and hoped that the Iranian companies would present their equipment at this exhibition.
1,"He also assessed the achievements of the exhibition as very useful and satisfactory, hoping that the police and security forces would be equipped with the latest and most modern technology so that they can expedite their activities in their campaign against crimes."
1,"The president complained about the mass media, accusing them of reporting whatever suits them."
0,He added that for that purpose they are seeking someone in the FAN [National Armed Forces] who could assume power in Venezuela.
1,"He added that he would not find it at all strange if, at some time or other, they even managed to connect him with the terrorist Usama Bin Ladin, because he is sure that his opponents will use any strategy to try to discredit him."
1,"President Hugo Chavez has warned that certain sectors have once again taken up the idea of looking forceful way out in Venezuela, either through a coup or an attack that would end his life."
1,"He noted that as the year draws to a close, the indicators are positive for Venezuela, then emphasized that the country has regained such internationally recognized posts as the presidency of the Group of the 15 and the Group of the 77."
1,He wished the new Argentine Government good luck and is confident that it will get the country moving forward.
1,"Once again, ideas that Chavez has to be killed, that four shots would solve the problem, have emerged."
1,"Even if such a thing were to happen, it would not solve the problem,"" the president said during his year-end message to the Vargas and Caracas garrisons, speaking from the Caracas Poliedro."
1,"In his opinion, this was a serious error that resulted in victims and loss of Venezuelan lives because we were meddling directly in an internal conflict in Colombia."" [quotation marks as published]"
1,It is a futile illusion because it is a lie.
1,"The president charged that attacks targeting his person have gone on for over 10 years, and that he has been accused, among other things, of ties with the guerrillas, of buying arms and trying to set up a communist regime in Venezuela."
1,"""We were meddling in an internal conflict of another country, which is a violation of international law and which in turn gave the guerrillas the right to attack our military units."""
1,"As for Argentina's decision not to pay its debt, the president said the measure would give the economy and people some breathing room."
1,"The chief of state also recalled that the previous governments viewed the Colombian guerrillas as enemies of Venezuela, which led to operations in Colombian territory to attack the rebel groups."
1,He said that Venezuela was led away from that path because the same thing would have happened here.
1,"He pointed out that his annoyance does not extend to the journalists, but is directed at the owners of newspapers and radio and television broadcasting stations."
1,"Chavez recalled that only a few years ago, Argentina was depicted as the model to follow."
1,"Now, however, the situation has reversed negatively as a result of the neoliberal policy to which he is opposed."
1,"""Since they have realized that this train is not stopping and that they are not going to stop it or run it off the track, ideas about destabilization have once again surfaced."
1,"Chavez added that ""they are going around looking for a Pinochet, analyzing man by man to see who could be the Pinochet that they could pit against Chavez, and I am sure that there is no Pinochet in the FAN."
1,"Chavez said that more efforts would be made in 2002 to get the country moving ahead since he believes that it will be quite difficult politically, economically and socially."
1,"I would venture to assure you that,"" he said."
1,"He stressed that ""the present cycle will lead to a dangerous situation""."
1,"Paris, 28 December (AFP): President Jacques Chirac urged a ""de-escalation"" between India and Pakistan during a telephone conversation on Friday [28 December] evening with Pakistani President Pervez Musharraf, the Elysee [French presidency] said."
1,"""Everything must be done by everyone to bring about de-escalation,"" Mr Chirac added."
0,France's Chirac talks to Pakistan's Musharraf
1,"The French head of state, who is spending the seasonal holiday at the Bregancon fort in the Var [department], took the initiative of telephoning his Pakistani opposite number to convey ""his very strong concern at the rising tension between India and Pakistan"", the same source said."
0,The seminar is part of the serial activities of the ongoing 35th Annual Meeting of ADB's Board of Governors.
1,"Jeffrey Sachs, director for the Center for International Development at Harvard University and chairman of the WHO Commission on Macroeconomics and Health, believes developing countries should fully recognize the importance of investing in health in their overall development strategy."
