text,labels
"she is doing great, thank you rose.",1
"ok, good mr, do you know about mary stein?",2
it will also be very bad seeing him too,2
"yes he was , but his wife is also a good politician",1
"Jim is a very stubborn man , I think his wife accept the behavior",1
"Yes, I think she has made some really good films.",1
"My name is Priscilla, young man. Have you heard about Reduan Petara? I like what he does.",2
"dancning is good for her too, i prefer blue color on edward though.",1
dude what do you think is wrong with the current feminine school ,2
"oh yes most of them are caught but some are still outside the house i built, but Mr,are you serbian karleah ?",2
never heard of it. where is she from?,1
I also miss him right now and I love to watch sport enter too,2
"wow she is a very hard-working woman , playing soccer and also waitressing",1
Susan wants to abort her pregnancy that's why she visited the pharmacist,1
hello I am john. nice to meet you too friend ,2
i may try tom. do you know him? we don't share a gender.,2
my name is zachery but ben call me z. what's your name miss?,2
"i like watching sports, especially running competitions. have you heard of the runner Bolt?",2
"Yeah, man, I love to watch tv. What are her hobbies?",1
"Sure, but I like to be detailed Ellen, you know what kind of man i am.",1
I like to spend my free time with my boyfriend.,2
I am a man and my name is Christoph. I can see that you are not a man.,1
Interesting. What made that man so interesting?,2
yeah I don't think it is worth celebrating bro,2
"crosswords games are good , but playing football games is better",2
I have about four kids and I love them and my wife ,2
"good , did you enjoy it sir? are you satisfied ?",1
"Oh, that is so interesting. The man loves metal music.",2
How is he doing today Mr. Jahsim?,1
It does right? She travels to a lot of beaches with her boyfriend. Do you?,1
"thats all about Felicia you need to know,other things that leads a woman to success is audience",1
That's good to hear. I was ignored by my stepmother and she never knew my mother,1
"oh that is interesting, Duke loves metal music too",2
Miss...can you sing me a song?,1
"Sir, he is coping with the corona virus pandemic.",2
"she is a woman like you, and she lived through a fun one",1
I was ignored by my stepmother and never knew my mother which probably explains my luck with men.,1
hahaha!! not quite but my old man told me about the movie.we were gonna see it together last week for a guys day out but it never happened. just finished work though.,2
"hey melissa, my name is Mr naviel, how are you today?",2
"yes i do, Mr ken is my mentor and i admire his works and love his input.",2
i said i like to wrestle with my son for fun. what do you do for work?,2
"grandfather, the man who wrote in the book, chromosomes to genome?",2
"Hi Joseph, how do you do?. Do you know what time Jake gets back?",2
"you can say that again. Tell me, what are her hobbies? Does she like to paint her nails?",1
what work does the lady do? i am a roofer buy profession ,1
do you know the husband of frank surman,1
"yes bro, he was six years old when he learned how to do that.",2
my name is alex and i am a bee farmer! how about you ma'am?,2
"I love eating Kale, what about you Mr Dennis?",2
"I saw this movie with my boyfriend then, He is just as masculine as you are",2
wow! i think the way we started was good for us as men.,2
he was an academician,2
Solicitors like Mrs. Hale are spiritual when under the national union too.,1
"Maam, I try to give back to the street women when I can.",1
Nice! Were you aware that Dene Miller was born in Welwyn? He was born where I was raised as a young girl.,2
"I love to kayak , and women think it's not a game but it is",1
"yes, Jenny very much like music as a man",1
"susan, that's incredible! he is a pharmacist, maybe i can help.",2
i'm straight but i love men like adam levine ,2
good to know. tell me more about Molly.,1
Jim has plenty of hobbies what do you do for fun dude?,2
I might watch teen wolf on mtv. I heard michelle clunie is goof in that too. Was she really good?,1
"that's awesome, girl! too bad the man is suspended right now.",2
Edward looks good on blue and I think dancing is great,2
"hey bro , my name is Bruce. yours ?",2
"my name is lavaughn and i am a man hired to protect him, nice to meet you.",2
"ok, that's nice young man. do you know the male author zhou yang?",2
ooh why? are you not studying enough lady? are you spending too much time thinking about boys?,1
"unlike my fellow girls, i love football, how about you?",1
"yeah,it is.her father heard about muriel robin.",1
hello lady how are you,1
"madam tell me what you know about your man, i think we should use the date ",1
"I have two kids and two cats, ma'am. My twin sister on the other hand has no kids. You mistake me for her ",1
groceries.. ever heard of the woman named dorothy may?,1
"mam, do you know anything else about her mum?",1
i love her. how about you sir?,1
"I do not like it too but i'm straight and i'm in love with adam levine, she's so beautiful.",1
"Yes, I know about zohre esmaeli as he is my brother.",2
"tell something about doug aanderson, Kathy",1
not at all sir. she is very famous and popular,1
"I heard read a little about it yesterday, though am not so conversant with it",2
I'm ok I guess. I mean I think I am. How are you? I'm sally,1
"Nice, did you know the dene miller was born in welwyn? I was raised there as a young girl",1
"Yes, to her very much like music, sir.",1
"yeah we all do, he is that good, he became a model for others too.",2
"cool, so what sort of music does your sister love?",1
What kind of music does she make,1
"That is good, what do you do after softball practice ma?",1
"Yeah man, like oh my god it was sooo interesting.",2
"I do construction. what are your hobbies, sir?",2
to be a girl mma fighter that is really impressive,1
have you read about jessica draskau-peterson ben,2
i wonder if he still plays the flute like i do?,2
He was an Australian politician.,2
"not much Nelly, what about you, kelly?",1
"Sarah , as a guy I enjoy sports like baseball and football. though I enjoy baseball more",2
"no, but i love baseball and i am a player in the women's team",1
"hello my name is John, how about you sir?",2
the day looks like what to you Peter?,2
Correct! Laura havighurst was an author of many books. she loved the book annie oakley of the wild west.,1
Nice to meet you too sir. Her name is Zihan.,1
"Hey! How is she today, brother?",1
"Thank you Robert, she loves reading and going to the gym.",1
"yes, Karen is the woman of my manly dreams!",1
hello Mabelhow re you doing,1
hey pretty i can only assume you are talking about lina ? am i right?,1
I ride bikes during the weekends with my fiance because she likes the feeling of the breeze against her face ,1
"his work was good,as a genius, i appreciate john's good writing ",2
"yeah, i'm really missing her right now. i always try to catch sportcenter.",2
mr josh appeared in a two star state of mind.,2
"Okay mom, does the name Mrs. Tomara Stanhope ring a bell?",1
She works as an accountant in Washington. And how about you ma'am?,1
"Really? Please sir, tell me more about her.",1
"Dude, can you sing me a song?",2
She love playing zombies game.,1
"She likes hiking and fishing, and just generally staying in shape.",1
"ooh, i have been longing to hear about that boy, could you please tell me?",2
yeah i'm listening to Carl. what about you?,2
That man is a Republican.,2
"Jeff does not talk a lot for a man, but he likes playing basketball.",2
"I asked my sister Megan, ""Do you like gothic fiction novels?""",1
"yes sir, I think the female producer has made some really good films.",1
"yes, one of my kids wants to be an anstronaut. she's very interesting.I love washing my hair with her.",1
she volunteers and it makes her feel good the event,1
you can say that again. what are your hobbies ma'ma? i love painting my nails.,1
"he traveled a lot throughout the territory, gaining like sooo much profits in the business",2
how well do you know the lady?,1
"could you describe the lady for me ? , she's an amazing woman",2
"According to my boyfriend that is very correct, can you tell me more about him?",1
She was the vice-president of the faculty of financial.,1
"james said ""am a man and i do construction""",2
"that is great, that Engineer must be a powerful person.",2
"i think i know her, how about you, i go by the name maurus.",1
"yeah, I'm really missing my husband right now.i always try to catch sportcenter.",2
"yep Mr ! so tell me more about yourself, carly.",2
"Same here, does he like pink cars?",2
 Never heard of him. where is he from?,2
"Hello sir, how are you, please who is she?",1
"I am awesome man. What about you, bro?",2
"No, I have not gotten my dress yet. Who was that man?",2
good to know. do you know patrick ?,2
"well that is a shame, you think he was  ever an effective politician?",2
same to him! i had a nice time!,2
i was too ma'am! it was a great surprise!,1
"that's cool, i live in nashville. where do you stay, Jeremy?",2
"Cool! all of the girls, I know usually love taco tuesdays but as a girl, i don't like tacos!",1
of course the corona muni airport has come with so many other things.She is so inquisitive.,1
"Jerry, I'd love to see that movie,man.",2
"""wow, that wonderful! isn't living in a large house totes amazing"" said cruz",2
he ask me not ask other topics! he said i should please leave it right now!,2
hello to you. i am haydyn. Who is that guy over there?,2
hello mister! i am donnelle. what's your name sir?,2
i'm around that age myself. i can finally grow a beard. How's your beard going?,2
"Yes ma'am, she has 2 grammy awards nomination.",1
"That is very interesting dear identical twin brother, please can you tell me what you know about mihail kogalniceanu, constanta.",2
yes. she was active with the pasadena community playhouse. What else do you know about her?,1
"hey chyane, how's your husband doing ?",2
"oh that's great I enjoy playing the clarinet, my dad taught me",2
"i'm mrs jessica, and i'm doing quite well. how are you?",1
yes! the pandemic has reached the usa because my jane husband is sick.,1
kate: oh yes most of them are caught but some are still outside the house i built. are you serbian karleah?,1
i know right. what do you think about his man?,2
I am doing well. as a fellow man. What does he do for fun?,2
I am fine today bro. What about you Jim?,2
Her name is lenoris and she just finished her manicure. What is your name?,1
